Session_ID,Flavor,Arm,Correct,CorrectBool
1,S,5,N,0
1,S,5,N,0
1,S,5,N,0
1,S,4,N,0
1,S,4,N,0
1,S,3,N,0
1,H,7,N,0
1,H,5,N,0
1,H,5,N,0
1,H,2,N,0
1,H,7,N,0
1,H,5,N,0
1,S,7,Y,1
1,H,4,Y,1
1,S,7,Y,1
1,H,7,N,0
1,S,7,Y,1
1,S,7,Y,1
1,H,7,N,0
1,S,7,Y,1
1,S,5,N,0
1,H,7,N,0
1,H,7,N,0
1,S,4,N,0
1,H,1,N,0
1,H,1,N,0
2,H,3,N,0
2,H,5,N,0
2,H,7,N,0
2,H,4,Y,1
2,H,4,Y,1
2,H,4,Y,1
2,S,4,N,0
2,S,4,N,0
2,S,3,N,0
2,S,5,N,0
2,S,4,N,0
2,S,4,N,0
2,S,5,N,0
2,H,4,Y,1
2,H,4,Y,1
2,S,4,N,0
2,S,4,N,0
2,H,4,Y,1
2,S,4,N,0
2,H,4,Y,1
2,H,4,Y,1
2,H,4,Y,1
2,S,4,N,0
2,S,4,N,0
2,S,4,N,0
2,H,4,N,0
2,S,4,N,0
2,H,4,N,0
3,S,4,N,0
3,S,4,N,0
3,S,4,N,0
3,S,4,N,0
3,S,4,N,0
3,S,4,N,0
3,H,4,Y,1
3,H,4,Y,1
3,H,4,Y,1
3,H,4,Y,1
3,H,4,Y,1
3,H,4,Y,1
3,H,4,Y,1
3,S,4,N,0
3,S,4,N,0
3,S,4,N,0
3,S,4,N,0
3,H,4,Y,1
3,S,4,N,0
3,S,4,N,0
3,H,4,Y,1
3,H,4,Y,1
3,H,4,Y,1
3,H,4,Y,1
3,S,4,N,0
3,H,4,Y,1
3,S,4,N,0
3,H,4,Y,1
3,S,4,N,0
3,H,4,Y,1
3,H,4,Y,1
3,H,4,Y,1
3,H,4,Y,1
3,H,4,Y,1
3,S,4,N,0
3,H,4,Y,1
3,H,4,Y,1
3,S,4,N,0
3,H,4,Y,1
3,S,4,N,0
3,H,4,Y,1
3,S,4,N,0
3,S,4,N,0
3,S,4,N,0
3,S,4,N,0
3,S,4,N,0
3,H,4,Y,1
3,S,4,N,0
3,H,4,Y,1
3,S,4,N,0
4,H,4,Y,1
4,H,4,Y,1
4,H,4,Y,1
4,H,4,Y,1
4,H,4,Y,1
4,H,4,Y,1
4,S,4,N,0
4,S,4,N,0
4,S,4,N,0
4,S,4,N,0
4,S,4,N,0
4,S,4,N,0
4,S,7,Y,1
4,S,7,Y,1
4,H,7,N,0
4,S,7,Y,1
4,S,7,Y,1
4,S,7,Y,1
4,S,7,Y,1
4,S,7,Y,1
4,S,7,Y,1
4,H,7,N,0
4,H,7,N,0
4,S,7,Y,1
4,H,7,N,0
4,S,7,Y,1
4,S,7,Y,1
4,H,7,N,0
4,H,7,N,0
4,H,7,N,0
4,H,7,N,0
4,H,7,N,0
4,H,7,N,0
4,H,7,N,0
4,S,7,Y,1
4,H,7,N,0
4,S,7,Y,1
4,S,7,Y,1
4,S,7,Y,1
4,S,7,Y,1
4,S,7,Y,1
4,H,7,N,0
4,H,7,N,0
4,H,7,N,0
4,S,7,Y,1
4,S,7,Y,1
4,H,7,N,0
4,S,7,Y,1
4,H,7,N,0
4,H,7,N,0
4,H,7,N,0
4,S,7,Y,1
4,S,7,Y,1
4,S,7,Y,1
4,S,7,Y,1
4,H,7,N,0
4,H,7,N,0
4,H,7,N,0
4,H,7,N,0
4,S,7,Y,1
4,S,7,Y,1
4,H,7,N,0
4,S,7,Y,1
4,H,7,N,0
4,S,7,Y,1
4,H,7,N,0
4,S,7,Y,1
4,H,7,N,0
4,H,7,N,0
4,H,7,N,0
5,S,7,Y,1
5,S,7,Y,1
5,S,7,Y,1
5,S,7,Y,1
5,S,7,Y,1
5,S,7,Y,1
5,H,7,N,0
5,H,7,N,0
5,H,7,N,0
5,H,7,N,0
5,H,7,N,0
5,H,7,N,0
5,S,7,Y,1
5,H,7,N,0
5,H,7,N,0
5,S,7,Y,1
5,H,7,N,0
5,H,7,N,0
5,S,7,Y,1
5,H,7,N,0
5,H,7,N,0
5,S,7,Y,1
5,H,7,N,0
5,S,7,Y,1
5,H,7,N,0
5,S,7,Y,1
5,H,7,N,0
5,H,7,N,0
5,H,7,N,0
5,S,7,Y,1
5,S,7,Y,1
5,H,7,N,0
5,S,7,Y,1
5,H,7,N,0
5,S,7,Y,1
5,H,7,N,0
5,S,7,Y,1
5,H,7,N,0
5,H,7,N,0
5,H,7,N,0
5,H,4,Y,1
5,S,7,Y,1
5,S,7,Y,1
5,S,7,Y,1
5,H,7,N,0
5,S,7,Y,1
5,H,7,N,0
5,S,7,Y,1
5,S,7,Y,1
5,H,7,N,0
5,H,7,N,0
5,S,7,Y,1
5,S,7,Y,1
5,S,7,Y,1
5,S,7,Y,1
5,H,7,N,0
5,S,7,Y,1
5,S,7,Y,1
5,S,7,Y,1
5,S,7,Y,1
5,H,7,N,0
5,S,7,Y,1
5,S,7,Y,1
5,H,7,N,0
5,H,7,N,0
5,H,7,N,0
5,H,7,N,0
5,S,7,Y,1
5,S,7,Y,1
5,H,7,N,0
6,H,7,N,0
6,H,7,N,0
6,H,7,N,0
6,H,7,N,0
6,H,7,N,0
6,H,7,N,0
6,S,7,Y,1
6,S,7,Y,1
6,S,7,Y,1
6,S,7,Y,1
6,S,7,Y,1
6,S,7,Y,1
6,H,7,N,0
6,S,7,Y,1
6,H,7,N,0
6,H,7,N,0
6,S,7,Y,1
6,H,7,N,0
6,H,7,N,0
6,H,7,N,0
6,H,7,N,0
6,S,7,Y,1
6,H,7,N,0
6,S,7,Y,1
6,S,7,Y,1
6,S,7,Y,1
6,H,7,N,0
6,S,7,Y,1
6,S,7,Y,1
6,S,7,Y,1
6,S,7,Y,1
6,H,7,N,0
6,H,7,N,0
6,H,7,N,0
6,H,7,N,0
6,H,7,N,0
6,S,7,Y,1
6,S,7,Y,1
6,H,7,N,0
6,H,7,N,0
6,S,7,Y,1
6,S,7,Y,1
6,H,7,N,0
6,H,7,N,0
6,H,7,N,0
6,H,4,Y,1
6,H,7,N,0
6,S,7,Y,1
6,S,7,Y,1
6,S,7,Y,1
6,H,7,N,0
6,H,4,Y,1
6,S,7,Y,1
6,H,7,N,0
6,S,7,Y,1
6,H,4,Y,1
6,S,7,Y,1
6,S,7,Y,1
6,S,7,Y,1
6,S,7,Y,1
