Animal,Date,Recording_day,PFC,HPC
JC258,20210625,JC258-20210625,37,17
JC258,20210626,JC258-20210626,27,12
JC258,20210627,JC258-20210627,16,25
JC258,20210628,JC258-20210628,10,29
JC258,20210629,JC258-20210629,10,50
JC258,20210701,JC258-20210701,8,33
JC258,20210702,JC258-20210702,7,34
JC258,20210704,JC258-20210704,7,28
JC258,20210705,JC258-20210705,10,32
JC258,20210706,JC258-20210706,5,28
JC267,20211125,JC267-20211125,36,5
JC267,20211126,JC267-20211126,40,30
JC267,20211127,JC267-20211127,17,15
JC274,20220304,JC274-20220304,28,16
JC274,20220305,JC274-20220305,56,22
JC274,20220306,JC274-20220306,29,12
JC274,20220307,JC274-20220307,36,16
JC274,20220309,JC274-20220309,28,23
JC274,20220310,JC274-20220310,24,27
JC274,20220311,JC274-20220311,33,27
JC274,20220312,JC274-20220312,34,27
JC274,20220313,JC274-20220313,35,16
JC274,20220314,JC274-20220314,56,22
JC274,20220315,JC274-20220315,34,12
JC274,20220316,JC274-20220316,37,15
JC283,20220909,JC283-20220909,119,34
JC283,20220910,JC283-20220910,101,36
JC283,20220911,JC283-20220911,110,31
JC283,20220912,JC283-20220912,102,32
JC283,20220913,JC283-20220913,86,39
JC283,20220915,JC283-20220915,68,15
JC283,20220916,JC283-20220916,74,18
JC283,20220917,JC283-20220917,50,25
JC283,20220918,JC283-20220918,87,19
JC283,20220919,JC283-20220919,88,15
JC283,20220920,JC283-20220920,85,10
JC283,20220921,JC283-20220921,99,8
JC283,20220923,JC283-20220923,73,7
JC283,20220924,JC283-20220924,74,9
