JC315,JC315,JC315,JC315,JC315,,JC283,JC283,JC283,JC283,JC283,,JC274,JC274,JC274,JC274,JC274
days,tet par,num trials 1,num trials 2,num tetrodes,,days,tet absolute,tet par,num trials 1,num tetrodes,,days,tet absolute,tet par,num trials 1,num tetrodes
20240330,26,15,26,32,,20220909,31,28,15,30,,20220304,30,22,12,25
20240331,19,15,28,32,,20220910,31,28,20,30,,20220305,30,22,15,25
20240401,20,25,50,32,,20220911,31,28,25,30,,20220306,30,22,26,25
20240402,19,35,70,32,,20220912,31,28,35,30,,20220307,30,22,35,25
20240403,28,35,70,32,,20220913,21,18,35,30,,20220309,21,16,35,25
20240404,24,35,70,32,,20220915,21,16,35,25,,20220310,30,22,35,25
20240406,28,35,70,32,,20220916,27,19,35,25,,20220311,30,22,35,25
20240407,19,35,70,32,,20220917,27,19,35,25,,20220312,30,22,35,25
,,,,,,20220918,27,19,35,25,,20220313,30,22,35,25
,,,,,,20220919,31,23,35,25,,20220314,30,22,35,25
,,,,,,20220920,21,16,35,25,,20220315,21,16,35,25
,,,,,,20220921,21,16,35,25,,,,,,
,,,,,,20220923,31,23,35,25,,,,,,
